fru_minor_type,dn,fru_major_type,vid,series,_ManagedObject__xtra_props,pid,_handle,_ManagedObject__xtra_props_dirty_mask,clei,oem_part_number,_ManagedObject__status,_class_id,child_action,sku,descr,_ManagedObject__parent_dn,collected_date,policy_owner,sacl,policy_level,rn,status,description,oem_name,int_id,_ManagedObject__parent_mo,name,_child,_dirty_mask,is_sec_fw_update,caption,part_number,vendor_equipment_type
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             L7555 @ 1.86GHz-revision-D0/manufacturing,,V01,,{},A01-X0206,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004875AA,,EquipmentManufacturingDef,,A01-X0206,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             L7555 @ 1.86GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core Nehalem-EX Performance Processor, 95W, 24M LL Cache, Support for: 5.86GT/s QPI, DDR3 1066MHz",Intel Corporation,253452,,Intel(R) Xeon(R) L7555,[],0,,Intel(R) Xeon(R) 8-Core Nehalem-EX  L7555 ,15-12282-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7520 @ 1.86GHz-revision-D0/manufacturing,,V01,,{},A01-X0209,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004887AA,,EquipmentManufacturingDef,,A01-X0209,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7520 @ 1.86GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) X7520 1.86GHz 4-Core Nehalem-EX Performance Processor, 95W, 18M LL Cache, Support for: 4.8GT/s QPI, DDR3 1066MHz",Intel Corporation,253458,,Intel(R) Xeon(R) X7520,[],0,,Intel(R) Xeon(R) 4-Core Nehalem-EX  X7520 ,15-12287-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7550 @ 2.00GHz-revision-D0/manufacturing,,V01,,{},A01-X0201,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004872AA,,EquipmentManufacturingDef,,A01-X0201,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7550 @ 2.00GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) X7550 2.00GHz 8-Core Nehalem-EX Performance Processor, 130W, 18M LL Cache, Support for: 6.4GT/s QPI, DDR3 1066MHz",Intel Corporation,253462,,Intel(R) Xeon(R) X7550,[],0,,Intel(R) Xeon(R) 8-Core Nehalem-EX  X7550 ,15-12280-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7540 @ 2.00GHz-revision-D0/manufacturing,,V01,,{},A01-X0203,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004878AA,,EquipmentManufacturingDef,,A01-X0203,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU             X7540 @ 2.00GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) X7540 2.00GHz 6-Core Nehalem-EX Performance Processor, 105W, 18M LL Cache, Support for: 6.4GT/s QPI, DDR3 1066MHz",Intel Corporation,253466,,Intel(R) Xeon(R) X7540,[],0,,Intel(R) Xeon(R) 6-Core Nehalem-EX  X7540 ,15-12279-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU           L7555 @ 1.86GHz-revision-D0/manufacturing,,V01,,{},A01-X0206,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004875AA,,EquipmentManufacturingDef,,A01-X0206,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU           L7555 @ 1.86GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core 95W, 24MB Cache",Intel Corporation,253472,,Intel(R) Xeon(R) L7555,[],0,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core 95W, 24MB Cache",15-12282-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5520  @ 2.27GHz-revision-0/manufacturing,,V01,,{},N20-X00004,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80602000810AA,,EquipmentManufacturingDef,,N20-X00004,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5520  @ 2.27GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel (R) Xeon(R) L5520 2.27GHz, 60W, Support For DDR3 1066MHz (B-3LV)",Intel Corporation,253476,,Intel (R) Xeon(R) L5520,[],0,,Intel (R) Xeon(R) L5520 2.27GHz 60W,15-11806-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5520  @ 2.26GHz-revision-0/manufacturing,,V01,,{},N20-X00004,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80602000810AA,,EquipmentManufacturingDef,,N20-X00004,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5520  @ 2.26GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) L5520 2.26GHz 4-core 60W 8MB Cache,Intel Corporation,253481,,Intel (R) Xeon(R) L5520,[],0,,Intel(R) Xeon(R) L5520 2.26GHz 4-core 60W 8MB Cache,15-11806-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz-revision-0/manufacturing,,V01,,{},A01-X0200,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004869AA,,EquipmentManufacturingDef,,A01-X0200,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X7560  @ 2.27GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X7560 2.27GHz 8-Core 130W 24MB Cache,Intel Corporation,253485,,Intel (R) Xeon(R) X7560,[],0,,Intel(R) Xeon(R) 8-Core Nehalem-EX  X7560 ,15-12281-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7520  @ 1.87GHz-revision-0/manufacturing,,V01,,{},A01-X0209,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004887AA,,EquipmentManufacturingDef,,A01-X0209,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7520  @ 1.87GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) E7520 1.866GHz 4-Core Nehalem-EX Performance Processor, 95W, 18M LL Cache, Support for: 4.8GT/s QPI, DDR3 1066MHz",Intel Corporation,253489,,Intel(R) Xeon(R) E7520,[],0,,Intel(R) Xeon(R) 4-Core Nehalem-EX  E7520 ,15-12287-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7520  @ 1.86GHz-revision-0/manufacturing,,V01,,{},A01-X0209,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004887AA,,EquipmentManufacturingDef,,A01-X0209,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7520  @ 1.86GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) E7520 1.86GHz 4-Core Nehalem-EX Performance Processor, 95W, 18M LL Cache, Support for: 4.8GT/s QPI, DDR3 1066MHz",Intel Corporation,253493,,Intel(R) Xeon(R) E7520,[],0,,Intel(R) Xeon(R) 4-Core Nehalem-EX  E7520 ,15-12287-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz-revision-0/manufacturing,,V01,,{},A01-X0105,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614004320AD SLBV3,,EquipmentManufacturingDef,,A01-X0105,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X5650 2.67GHz 6-core 95W 12MB Cache,Intel Corporation,253498,,Intel(R) Xeon(R) X5650,[],0,,Intel(R) Xeon(R) X5650 2.67GHz 6-core 95W 12MB Cache,15-12269-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz-revision-0/manufacturing,,V01,,{},A01-X0117,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614006696AA,,EquipmentManufacturingDef,,A01-X0117,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X5675 3.07GHz 6c/95W/12MB Cache DDR3-1333MHz,Intel Corporation,253502,,Intel(R) Xeon(R)  X5675,[],0,,Intel(R) Xeon(R) 3.07GHz 95W 12MB Cache,15-13187-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X7550  @ 2.00GHz-revision-0/manufacturing,,V01,,{},A01-X0201,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004872AA,,EquipmentManufacturingDef,,A01-X0201,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X7550  @ 2.00GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X7550 2.00GHz 8-Core 130W 18MB Cache,Intel Corporation,253506,,Intel(R) Xeon(R) X7550,[],0,,Intel(R) Xeon(R) X7550 2.00GHz 8-Core 130W 18MB Cache,15-12280-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz-revision-0/manufacturing,,V01,,{},A01-X0308,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604001797AB,,EquipmentManufacturingDef,,A01-X0308,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X6550  @ 2.00GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X6550 CPU 2.00GHz 130 W 8C/CPU 18MB Cache DDR3 1066MHz,Intel Corporation,253512,,Intel(R) Xeon(R) X6550,[],0,,Intel(R) Xeon(R) X6550 2.00GHz 130W 18MB Cache,15-12537-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5640  @ 2.27GHz-revision-0/manufacturing,,V01,,{},A01-X0106,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,UNKNOWN,,EquipmentManufacturingDef,,A01-X0106,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L5640  @ 2.27GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) L5640 2.26GHz 6-core 60W 12MB Cache,Intel Corporation,253516,,Intel(R) Xeon(R) L5640,[],0,,Intel(R) Xeon(R) L5640 2.26GHz 6-core 60W 12MB Cache,15-12285-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X7542  @ 2.67GHz-revision-0/manufacturing,,V01,,{},A01-X0202,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604005280AA,,EquipmentManufacturingDef,,A01-X0202,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X7542  @ 2.67GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X7542 2.67GHz 130W 6C/CPU 18MB Cache DDR3 1066MHz,Intel Corporation,253520,,Intel(R) Xeon(R) X7542,[],0,,Intel(R) Xeon(R) X7542 2.67GHz 130W 18MB Cache,15-13198-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5649  @ 2.53GHz-revision-0/manufacturing,,V01,,{},A01-X0120,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614006783AB,,EquipmentManufacturingDef,,A01-X0120,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5649  @ 2.53GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5649 2.53GHz 6c/80W/12MB Cache DDR3-1066MHz,Intel Corporation,253524,,Intel(R) Xeon(R)  E5649,[],0,,Intel(R) Xeon(R) E5649 2.53GHz 80W 12MB Cache,15-13186-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU           X7520 @ 1.86GHz-revision-D0/manufacturing,,V01,,{},A01-X0209,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004887AA,,EquipmentManufacturingDef,,A01-X0209,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU           X7520 @ 1.86GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X7520 1.86GHz 4-Core 95W 18MB Cache,Intel Corporation,253528,,Intel(R) Xeon(R) X7520,[],0,,Intel(R) Xeon(R) X7520 1.86GHz 4-Core 95W 18MB Cache,15-12287-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz-revision-0/manufacturing,,V01,,{},N20-X00006,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,XEON X5550,,EquipmentManufacturingDef,,N20-X00006,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X5550 2.66GHz 4-core 95W 8MB Cache,Intel Corporation,253532,,Intel (R) Xeon(R) X5550,[],0,,Intel(R) Xeon(R) X5550 2.66GHz 4-core 95W 8MB Cache,151209401,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5687  @ 3.60GHz-revision-0/manufacturing,,01,,{},UCS-CPU-X5687,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614005919AB,,EquipmentManufacturingDef,,UCS-CPU-X5687,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5687  @ 3.60GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X5687 3.60GHz 4c/130W/12MB Cache DDR3-1333MHz,Intel Corporation,253536,,Intel(R) Xeon(R) X5687,[],0,,Intel(R) Xeon(R) X5687 3.60GHz 130W 12MB Cache,15-13476-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz-revision-0/manufacturing,,V01,,{},A01-X0109,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614005466AA SLBVC,,EquipmentManufacturingDef,,A01-X0109,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5640  @ 2.67GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5640 2.67GHz 4-core 80W 12MB Cache,Intel Corporation,253540,,Intel(R) Xeon(R) E5640,[],0,,Intel(R) Xeon(R) E5640 2.67GHz 4-core 80W 12MB Cache,15-12270-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L7555  @ 1.86GHz-revision-0/manufacturing,,V01,,{},A01-X0206,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004875AA,,EquipmentManufacturingDef,,A01-X0206,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L7555  @ 1.86GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core Nehalem-EX Performance Processor, 95W, 24M LL Cache, Support for: 5.86GT/s QPI, DDR3 1066MHz",Intel Corporation,253544,,Intel(R) Xeon(R) L7555,[],0,,Intel(R) Xeon(R) 8-Core Nehalem-EX  L7555 ,15-12282-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5520  @ 2.26GHz-revision-0/manufacturing,,V01,,{},N20-X00003,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80602002091AA,,EquipmentManufacturingDef,,N20-X00003,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5520  @ 2.26GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5520 2.26GHz 4-core 80W 8MB Cache,Intel Corporation,253548,,Intel(R) Xeon(R) E5520,[],0,,Intel(R) Xeon(R) E5520 2.26GHz 4-core 80W 8MB Cache,15-11804-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5645  @ 2.40GHz-revision-0/manufacturing,,01,,{},UCS-CPU-E5645,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614003597AC,,EquipmentManufacturingDef,,UCS-CPU-E5645,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5645  @ 2.40GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5645 2.40GHz 6c/80W/12MB Cache DDR3-1333,Intel Corporation,253552,,Intel(R) Xeon(R) E5645,[],0,,Intel(R) Xeon(R) E5645 2.40GHz 80W 12MB Cache,15-12478-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7540  @ 2.00GHz-revision-0/manufacturing,,V01,,{},A01-X0203,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004878AA,,EquipmentManufacturingDef,,A01-X0203,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E7540  @ 2.00GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) E7540 2.00GHz 6-Core Nehalem-EX Performance Processor, 105W, 18M LL Cache, Support for: 6.4GT/s QPI, DDR3 1066MHz",Intel Corporation,253556,,Intel(R) Xeon(R) E7540,[],0,,Intel(R) Xeon(R) 6-Core Nehalem-EX  E7540 ,15-12279-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz-revision-0/manufacturing,,V01,,{},A01-X0100,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614005124AA SLBV5,,EquipmentManufacturingDef,,A01-X0100,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5680  @ 3.33GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X5680 3.33GHz 6-core 130W 12MB Cache,Intel Corporation,253560,,Intel(R) Xeon(R) X5680,[],0,,Intel(R) Xeon(R) X5680 CPU 3.33GHz 6-core 130W 12MB Cache,15-12271-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L7555  @ 1.87GHz-revision-0/manufacturing,,V01,,{},A01-X0206,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004875AA,,EquipmentManufacturingDef,,A01-X0206,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           L7555  @ 1.87GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core 95W, 24MB Cache",Intel Corporation,253564,,Intel(R) Xeon(R) L7555,[],0,,"Intel(R) Xeon(R) L7555 1.86GHz 8-Core 95W, 24MB Cache",15-12282-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz-revision-0/manufacturing,,V01,,{},N20-X00003,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80602002091AA,,EquipmentManufacturingDef,,N20-X00003,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5520  @ 2.27GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,"Intel(R) Xeon(R) E5520 2.27GHz, 80W, Support For DDR3 1066MHz (B-5)",Intel Corporation,253568,,Intel(R) Xeon(R) E5520,[],0,,Intel(R) Xeon(R) E5520 2.27GHz 80W,15-11804-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5606  @ 2.13GHz-revision-0/manufacturing,,V01,,{},A01-X0123,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614007290AE,,EquipmentManufacturingDef,,A01-X0123,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5606  @ 2.13GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5606 2.13GHz 6c/80W/8MB Cache DDR3-1066MHz,Intel Corporation,253572,,Intel(R) Xeon(R) E5606,[],0,,Intel(R) Xeon(R) E5606 2.13GHz 80W 12MB Cache,15-13229-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E6540  @ 2.00GHz-revision-0/manufacturing,,V01,,{},A01-X0304,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604001800AB,,EquipmentManufacturingDef,,A01-X0304,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E6540  @ 2.00GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E6540 CPU 2.00GHz 105 W 6C/CPU 12MB Cache DDR3 1066MHz,Intel Corporation,253576,,Intel(R) Xeon(R)  E6540,[],0,,Intel(R) Xeon(R) E6540 2.00GHz 105W 12MB Cache,15-12536-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5506  @ 2.13GHz-revision-0/manufacturing,,V01,,{},A01-X0113,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,(unknown),,EquipmentManufacturingDef,,A01-X0113,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5506  @ 2.13GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5506 2.13GHz 4-core 80W 4MB Cache,Intel Corporation,253580,,Intel(R) Xeon(R) E5506,[],0,,Intel(R) Xeon(R) E5506 2.13GHz 4-core 80W 4MB Cache,15-12286-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5504  @ 2.00GHz-revision-0/manufacturing,,V01,,{},N20-X00009,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,XEON E5504,,EquipmentManufacturingDef,,N20-X00009,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5504  @ 2.00GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5504 2GHz 4-core 80W 4MB Cache,Intel Corporation,253584,,Intel(R) Xeon(R) E5504,[],0,,Intel(R) Xeon(R) E5504 2GHz 4-core 80W 4MB Cache,15-12148-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5690  @ 3.47GHz-revision-0/manufacturing,,V01,,{},A01-X0115,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614005913AB,,EquipmentManufacturingDef,,A01-X0115,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           X5690  @ 3.47GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X5690 3.47GHz 6c/130W/12MB Cache DDR3-1333MHz,Intel Corporation,253588,,Intel(R) Xeon(R) X5690,[],0,,Intel(R) Xeon(R) X5690 3.47GHz 130W 12MB Cache,15-13185-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E6510  @ 1.73GHz-revision-0/manufacturing,,V01,,{},A01-X0302,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004896AA,,EquipmentManufacturingDef,,A01-X0302,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E6510  @ 1.73GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E6510 CPU 1.73GHz 105 W 4C 12MB/CPU Cache DDR3 1066MHz,Intel Corporation,253592,,Intel(R) Xeon(R)  E6510,[],0,,Intel(R) Xeon(R) E6510 1.73GHz 105W 12MB Cache,15-12535-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz-revision-0/manufacturing,,V01,,{},A01-X0111,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80614005073AB SLBV4,,EquipmentManufacturingDef,,A01-X0111,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5620 2.40GHz 4-core 80W 12MB Cache,Intel Corporation,253596,,Intel(R) Xeon(R) E5620,[],0,,Intel(R) Xeon(R) E5620 2.40GHz 4-core 80W 12MB Cache,15-12273-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz-revision-0/manufacturing,,V01,,{},N20-X00002,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80602000789AA,,EquipmentManufacturingDef,,N20-X00002,,capabilities/manufacturer-Intel(R) Corporation-model-Intel(R) Xeon(R) CPU           E5540  @ 2.53GHz-revision-0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) E5540 2.53GHz 4-core 80W 8MB Cache,Intel Corporation,253600,,Intel(R) Xeon(R) E5540,[],0,,Intel(R) Xeon(R) E5540 2.53GHz 4-core 80W 8MB Cache,15-11805-01,
,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU           X7550 @ 2.00GHz-revision-D0/manufacturing,,V01,,{},A01-X0201,<ucsmsdk.ucshandle.UcsHandle object at 0x0455AD10>,1,,AT80604004872AA,,EquipmentManufacturingDef,,A01-X0201,,capabilities/manufacturer-Intel(R) Corporation-model-Genuine Intel(R) CPU           X7550 @ 2.00GHz-revision-D0,2016-12-28 06:58:41,local,,0,manufacturing,,Intel(R) Xeon(R) X7550 2.00GHz 8-Core 130W 18MB Cache,Intel Corporation,253604,,Intel(R) Xeon(R) X7550,[],0,,Intel(R) Xeon(R) X7550 2.00GHz 8-Core 130W 18MB Cache,15-12280-01,
